molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id
CHEMBL4129147,CC(C)=CCC1=C2O[C@H](C(C)(C)O)C[C@@]23C[C@H](CC=C(C)C)[C@@](C)(CCC(=O)C(C)C)[C@@](C(=O)C(C)C)(C1=O)C3=O,IC50,'=',24260.0,nM,4.62,CHEMBL4119281
CHEMBL19215,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,IC50,'=',1344.0,nM,5.87,CHEMBL1909212
CHEMBL4633410,COc1ccc([C@H]2O[C@@H](O)[C@H]3[C@@H]2C(=O)O[C@@H]3c2ccc(OC)c(OC)c2)cc1OC,IC50,'=',28.0,nM,7.55,CHEMBL4618042
CHEMBL4749678,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC1CCC1,IC50,'=',155.3,nM,6.81,CHEMBL4711085
CHEMBL502,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,IC50,'=',160.0,nM,6.8,CHEMBL940221
CHEMBL259264,OCCC1CCN(Cc2ccc(OCCCN3CCCCC3)cc2)CC1,IC50,'=',350.0,nM,6.46,CHEMBL940221
CHEMBL4166464,COc1ccc2c(c1)CCC(Cc1cc[n+](Cc3ccccc3Cl)cc1C(N)=O)C2=O.[Br-],IC50,'=',378.8,nM,6.42,CHEMBL4146836
CHEMBL4165973,COc1ccc(C(=O)CCc2cc[n+](Cc3cccc(Cl)c3)cc2C(=O)O)cc1OC.[Br-],IC50,'=',18.1,nM,7.74,CHEMBL4146836
CHEMBL4172353,COc1ccc2c(c1)CCC(Cc1cc[n+](Cc3ccc(Cl)cc3)cc1C(C)=O)C2=O.[Br-],IC50,'=',568.0,nM,6.25,CHEMBL4146836
CHEMBL4173405,COc1ccc2c(c1)CCC(Cc1cc[n+](Cc3cccc(C(F)(F)F)c3)cc1C(C)=O)C2=O.[Br-],IC50,'=',307.5,nM,6.51,CHEMBL4146836
CHEMBL4160696,COc1cc2c(cc1OC)C(=O)C(CC1C=CN(Cc3ccccc3)C=C1C(C)=O)CC2,IC50,'=',924.0,nM,6.03,CHEMBL4146836
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,IC50,'=',534.0,nM,6.27,CHEMBL3116513
CHEMBL502,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,IC50,'=',11.0,nM,7.96,CHEMBL3116513
CHEMBL3112614,COc1cc2[se]n(-c3ccc(OCCCN4CCCCC4)cc3)c(=O)c2cc1OC,IC50,'=',5150.0,nM,5.29,CHEMBL3116513
CHEMBL3115024,COc1cc2[se]n(-c3ccc(CCN4CCCCC4)cc3)c(=O)c2cc1OC,IC50,'=',10520.0,nM,4.98,CHEMBL3116513
CHEMBL3115021,COc1cc2[se]n(-c3ccc(CN4CCCCC4)cc3)c(=O)c2cc1OC,IC50,'=',1440.0,nM,5.84,CHEMBL3116513
CHEMBL3115042,C=CC(=O)N1C/C(=C\c2ccccc2Cl)C(=O)[C@@]2(C1)[C@H](c1ccccc1Cl)CN(C)[C@]21C(=O)Nc2ccccc21,IC50,'=',5120.0,nM,5.29,CHEMBL3116521
CHEMBL3115041,C=CC(=O)N1C/C(=C\c2ccccc2OC)C(=O)[C@@]2(C1)[C@H](c1ccccc1OC)CN(C)[C@]21C(=O)Nc2ccccc21,IC50,'=',4100.0,nM,5.39,CHEMBL3116521
CHEMBL4639168,COc1ccc(-c2ccc(/C=N/N3CC(=O)N(CCC4CCN(Cc5ccccc5)CC4)C3=O)o2)cc1,IC50,'=',108.0,nM,6.97,CHEMBL4611478
CHEMBL4633378,COc1cccc(-c2ccc(/C=N/N3CC(=O)N(CCC4CCN(Cc5ccccc5)CC4)C3=O)o2)c1,IC50,'=',47.0,nM,7.33,CHEMBL4611478
CHEMBL636,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,IC50,'=',920.0,nM,6.04,CHEMBL945890
CHEMBL255230,C#CCN[C@@H]1CCc2cc(Cl)c(OC(=O)N(C)CCC)cc21,IC50,'=',43900.0,nM,4.36,CHEMBL945890
CHEMBL5169560,c1ccc2c(NCCN3CCOCC3)c3c(nc2c1)CCCC3,IC50,'=',93.0,nM,7.03,CHEMBL5158301
CHEMBL4632461,COc1ccc([C@H]2OC[C@H]3[C@@H]2C(=O)O[C@@H]3c2ccc3c(c2)OCO3)cc1OC,IC50,'=',2229.0,nM,5.65,CHEMBL4618042
CHEMBL3632850,COc1ccc2nc3c(c(NCCCCCCCNC(=O)C4(C)CCc5c(C)c(O)c(C)c(C)c5O4)c2c1)CCCC3,IC50,'=',6720.0,nM,5.17,CHEMBL3635777
CHEMBL3632990,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NCCCCNc1c3c(nc4cc(Cl)ccc14)CCCC3)O2,IC50,'=',150.0,nM,6.82,CHEMBL3635777
CHEMBL253998,CC(C)=CCc1c(O)cc(O)c2c1O[C@H](c1ccccc1)CC2=O,IC50,'=',6.4,nM,8.19,CHEMBL4774393
CHEMBL4786658,COc1cc2c(cc1OC)C(=O)/C(=C/c1ccc(N3CCN(C)CC3)cc1)C2,IC50,'=',320.0,nM,6.5,CHEMBL4768259
CHEMBL5200047,O=C(Nc1ccc(OC(F)(F)F)cc1)NC1CCN(C(=O)CCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)CC1,IC50,'=',2.71,nM,8.57,CHEMBL5161346
CHEMBL5291438,O=C1CC2CCc3ccsc3C2=NN1CCCCN1CCCCC1,IC50,'=',2090.0,nM,5.68,CHEMBL5256378
CHEMBL5279473,O=C1CC2CCc3ccsc3C2=NN1CCCCN1CCCC1,IC50,'=',1160.0,nM,5.94,CHEMBL5256378
CHEMBL659,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,IC50,'=',350.0,nM,6.46,CHEMBL5256379
CHEMBL3263728,CN(Cc1ccccc1)Cc1ccc(C(=O)NCCc2c[nH]c3cc(F)ccc23)cc1,IC50,'=',2500.0,nM,5.6,CHEMBL3265621
CHEMBL3262661,COc1cc2c(cc1OC)C(Cc1ccc(OCCCCCCN(C)C)cc1)NCC2,IC50,'=',7130.0,nM,5.15,CHEMBL3271120
CHEMBL3262665,COc1cc2c(cc1OC)C(Cc1ccc(OCCCCCCN3CCCCC3C)cc1)NCC2,IC50,'=',2200.0,nM,5.66,CHEMBL3271120
CHEMBL3262671,COc1cc2c(cc1OC)C(Cc1ccc(OCCCCCCN3CCN(c4ccccc4)CC3)cc1)NCC2,IC50,'=',16330.0,nM,4.79,CHEMBL3271120
