canonical_smiles,CID,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount
COc1ccc(CN2CCC(c3oc4ccccc4c3C(=O)c3ccccc3)CC2)cc1OC,164609973,455.5,5.7,51.9,0,5,7
COc1cc(/C=C/C(=O)NCC(=O)NCCc2c[nH]c3ccccc23)ccc1O,164612921,393.4,2.7,103.0,4,4,8
COc1cc(/C=C/C(=O)NCC(=O)NCCc2c[nH]c3ccc(Cl)cc23)ccc1O,164620135,427.9,3.3,103.0,4,4,8
CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2[C@H]1c1ccc(OC)cc1)CCCC3,42637909,393.5,3.9,86.5,2,6,5
O=C(c1cccc(Cl)c1Cl)n1nc(OCCCN2CCCCC2)c2ccccc21,153979991,432.3,5.9,47.4,0,4,6
O=C(c1c(F)ccc(F)c1F)n1nc(OCCN2CCCCC2)c2ccccc21,153979986,403.4,4.6,47.4,0,7,5
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,3152,379.5,4.3,38.8,0,4,6
COc1cc(/C=C/C(=O)N2CCCCC2)ccc1OC(=O)N(C)C,162649275,332.4,2.4,,0,,5
Cc1ccc(/C=C2/CNCC3=C2N=C2SC=C(c4ccc(C)cc4)N2C3c2ccc(C)cc2)cc1,134134800,475.6,5.3,52.9,1,3,3
Clc1ccc(/C=C2/CNCC3=C2N=C2SC=C(c4ccc5ccccc5c4)N2C3c2ccc(Cl)cc2)cc1,134138653,552.5,6.8,52.9,1,3,3
CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(CCC)C1C2,44281155,372.5,6.1,41.6,1,3,10
c1ccc2c(c1)CN1CCCCCCC1=N2,14318563,214.31,2.3,15.6,0,1,0
COc1ccc(C(=O)c2ccc(CN(C)CCN(C)C)cc2)cc1OC,42598036,356.5,3.1,42.0,0,5,9
CCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(CC)C1C2,44281162,344.5,5.1,41.6,1,3,8
CCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(CC)C1C2,44281438,316.4,4.0,41.6,1,3,6
CCN(CCCNC1=CC(=O)C(NCCCNC(=O)CCCCC2CCSS2)=CC1=O)Cc1ccccc1OC,25221377,588.8,4.8,150.0,3,9,19
CN(CCCCCCCN1C(=O)c2ccccc2C1=O)Cc1cccc(Cl)c1.Cl,118729304,435.4,,40.6,1,3,10
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,3152,379.5,4.3,38.8,0,4,6
Nc1c2c(nc3cc(Cl)ccc13)-c1ccccc1C2,23644792,,3.8,38.9,1,2,0
CC(C)(C)OC(=O)n1cc(/C=C2\CN(Cc3ccccc3)CCC2=O)c2ccccc21,10905808,416.5,4.5,51.5,0,4,5
CCC1=CC2Cc3nc4ccccc4c(N)c3C(C1)C2.Cl,45265246,300.8,,38.9,2,2,1
CN1c2ccc(OC(=O)Nc3ccccc3)cc2[C@]2(C)CC[N@@+](C)([O-])[C@H]12.Cl,45266158,389.9,,59.6,2,4,3
